time=0.4 ED_MAX=12.4366 Stotal=1312.18
time=0.6 ED_MAX=6.99342 Stotal=1313.74
time=0.8 ED_MAX=4.48231 Stotal=1314.95
time=1 ED_MAX=3.06563 Stotal=1315.99
time=1.2 ED_MAX=2.18039 Stotal=1316.91
time=1.4 ED_MAX=1.59573 Stotal=1317.76
time=1.6 ED_MAX=1.19537 Stotal=1318.53
time=1.8 ED_MAX=0.906449 Stotal=1319.22
time=2 ED_MAX=0.702149 Stotal=1319.81
time=2.2 ED_MAX=0.552233 Stotal=1320.31
time=2.4 ED_MAX=0.441313 Stotal=1320.68
